Timestamp | Error Message
2025-11-08 23:40:37.800799 | [ERROR] Order for OSP (Vol: 100, Price: 18.7, Side: Sell) skipped due to Cannot sell OSP as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:40.172166 | [ERROR] Order for BJC (Vol: 100, Price: 20.1, Side: Sell) skipped due to Cannot sell BJC as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:44.017543 | [ERROR] Order for HMPRO (Vol: 100, Price: 7.7, Side: Sell) skipped due to Cannot sell HMPRO as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:48.994885 | [ERROR] Order for CCET (Vol: 100, Price: 6.05, Side: Sell) skipped due to Cannot sell CCET as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:49.333407 | [ERROR] Order for BBL (Vol: 100, Price: 149.0, Side: Sell) skipped due to Cannot sell BBL as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:53.082308 | [ERROR] Order for HMPRO (Vol: 100, Price: 7.75, Side: Sell) skipped due to Cannot sell HMPRO as it is not in the portfolio or insufficient volume.
2025-11-08 23:40:56.507924 | [ERROR] Order for BJC (Vol: 100, Price: 20.2, Side: Sell) skipped due to Cannot sell BJC as it is not in the portfolio or insufficient volume.
2025-11-08 23:41:12.031667 | [ERROR] Order for BDMS (Vol: 100, Price: 21.0, Side: Sell) skipped due to Cannot sell BDMS as it is not in the portfolio or insufficient volume.
2025-11-08 23:41:21.551566 | [ERROR] Order for TU (Vol: 100, Price: 12.3, Side: Sell) skipped due to Cannot sell TU as it is not in the portfolio or insufficient volume.
2025-11-08 23:41:41.353411 | [ERROR] Order for WHA (Vol: 100, Price: 3.76, Side: Sell) skipped due to Cannot sell WHA as it is not in the portfolio or insufficient volume.
2025-11-08 23:41:47.818500 | [ERROR] Order for CBG (Vol: 100, Price: 57.5, Side: Sell) skipped due to Cannot sell CBG as it is not in the portfolio or insufficient volume.
2025-11-08 23:42:01.039122 | [ERROR] Order for CBG (Vol: 100, Price: 57.75, Side: Sell) skipped due to Cannot sell CBG as it is not in the portfolio or insufficient volume.
2025-11-08 23:42:19.034190 | [ERROR] Order for KTB (Vol: 100, Price: 25.75, Side: Sell) skipped due to Cannot sell KTB as it is not in the portfolio or insufficient volume.
